case_title,description,results,lessons_learned,success
"Fenty Beauty: Inclusive Marketing","Fenty Beauty предложила широкий диапазон тонов для всех типов кожи.","Увеличение продаж на 30%, положительные отзывы от сообщества.","Инклюзивность может стать ключевым фактором успеха.","Yes"
"GoPro: The GoPro Awards","GoPro запустил программу, поощряющую пользователей за создание контента с использованием своей техники.","Увеличение числа активных пользователей на 50%, рост продаж на 20%.","Поощрение пользователей может создать активное сообщество.","Yes"
"Slack: The Slack Fund","Slack создал фонд для поддержки стартапов, использующих их платформу.","Увеличение числа интеграций на 40%, рост сообщества разработчиков.","Поддержка стартапов может повысить лояльность к вашему продукту.","Yes"
"Unilever: Sustainable Living Plan","Unilever внедрил план устойчивого развития для улучшения экологии и социальных условий.","Увеличение доли устойчивых продуктов на 50%, рост продаж на 30%.","Сфокусированность на устойчивом развитии может привести к долгосрочным результатам.","Yes"
"Under Armour: I Will What I Want Campaign","Under Armour запустил кампанию, вдохновляющую женщин следовать своим целям.","Увеличение продаж на 25%, рост вовлеченности в соцсетях на 40%.","Эмоциональные кампании могут создать сильную связь с клиентами.","Yes"
"Chipotle: Food with Integrity","Chipotle продвигает концепцию качественного и экологически чистого питания.","Рост продаж на 20%, увеличение лояльности клиентов на 30%.","Фокус на качестве и источниках продуктов может привлечь целевую аудиторию.","Yes"
"Google: 2018 Super Bowl Ad","Google запустил рекламу, посвященную использованию Google Assistant в повседневной жизни.","Реклама стала вирусной, охват миллионов зрителей, рост использования Assistant на 30%.","Эмоциональные истории могут создать сильное впечатление и повысить интерес к продукту.","Yes"
"Always: #LikeAGirl Campaign","Кампания, направленная на изменение восприятия фразы 'как девочка' на более позитивное.","Увеличение продаж на 20%, рост обсуждаемости на 300%.","Социальные проблемы могут быть эффективной основой для маркетинга.","Yes"
"Netflix: Choose Your Own Adventure","Netflix представил интерактивные фильмы, где зрители могут выбирать развитие сюжета.","Увеличение времени просмотра на 15%, рост интереса к интерактивному контенту.","Интерактивные форматы могут повысить вовлеченность пользователей.","Yes"
"Amazon: Prime Day","Amazon запустил однодневную распродажу для членов Prime, предлагая большие скидки.","Рекордные продажи, превышающие Black Friday, увеличение подписок на 20%.","Эксклюзивные предложения могут стимулировать спрос.","Yes"
"LEGO: LEGO Ideas","LEGO создал платформу, на которой пользователи могут предлагать идеи для новых наборов.","Запуск нескольких новых наборов, созданных пользователями, рост вовлеченности на 200%.","Вовлечение сообщества может привести к инновациям.","Yes"
"BlablaCar: Referral Program","BlablaCar предложил пользователям бонус за привлечение новых клиентов.","Увеличение числа пользователей на 40%, рост числа поездок на 15%.","Эффективные реферальные программы могут ускорить рост.","Yes"
"Burberry: Social Media Engagement","Burberry активно использует социальные медиа для взаимодействия с клиентами и запуска новых коллекций.","Рост подписчиков на 60%, увеличение продаж на 15%.","Активное взаимодействие в соцсетях может повысить интерес к бренду.","Yes"
"Mailchimp: The Mailchimp Guide to Email Marketing","Mailchimp создал бесплатный учебник по email-маркетингу.","Сотни тысяч загрузок, рост числа пользователей на 25%.","Обучающие материалы могут привлечь новую аудиторию.","Yes"
"National Geographic: #Wanderlust Campaign","National Geographic запустил кампанию, вдохновляющую людей путешествовать и исследовать мир.","Рост подписчиков на 40%, увеличение вовлеченности на 75%.","Креативные кампании могут повысить интерес и лояльность.","Yes"
"Charity: Water: The Birthday Campaign","Charity: Water предложил людям отмечать дни рождения, собирать деньги на чистую воду.","Рост пожертвований на 300%, увеличение числа участников на 50%.","Индивидуальные инициативы могут создать сильную связь с благотворительностью.","Yes"
"Unilever: Lifebuoy Campaign","Unilever запустил кампанию по повышению осведомленности о гигиене в развивающихся странах.","Снижение уровня заболеваний на 25%, рост продаж на 20%.","Социальные инициативы могут улучшить имидж бренда.","Yes"
"Samsung: The Next Big Thing is Here","Samsung использовал юмор для продвижения нового Galaxy.","Увеличение продаж на 30% в первый месяц, рост числа обсуждений на 50%.","Юмор может быть эффективным инструментом для рекламы.","Yes"
"Pepsi: Pepsi Challenge","Pepsi запустил слепую дегустацию, сравнивая свой продукт с Coca-Cola.","Рост продаж на 30%, значительное увеличение доли рынка.","Сравнительные кампании могут повысить интерес к продукту.","Yes"
"LinkedIn: LinkedIn Learning","LinkedIn представил платформу для онлайн-обучения и повышения квалификации.","Увеличение числа подписчиков на 50%, рост вовлеченности на 40%.","Образовательные ресурсы могут привлечь новую аудиторию.","Yes"
"Ford: Built Ford Tough Campaign","Ford запустил рекламную кампанию, подчеркивающую прочность своих автомобилей.","Рост продаж на 15%, повышение лояльности клиентов.","Эмоциональные послания могут создать прочную связь с клиентами.","Yes"
"Snickers: You're Not You When You're Hungry","Snickers использовал юмор для продвижения своего продукта через различные медиа.","Увеличение продаж на 20%, рост популярности бренда на 30%.","Юмор и креативность могут значительно повысить интерес к продукту.","Yes"
"Ryanair: Low-Fare Marketing","Ryanair использует агрессивные цены и маркетинговые кампании для привлечения клиентов.","Увеличение числа пассажиров на 25%, рост прибыли на 10%.","Агрессивные ценовые стратегии могут привлечь новую аудиторию.","Yes"
"Volkswagen: The Force Commercial","Volkswagen создал вирусную рекламу с маленьким Дартом Вейдером.","Реклама набрала более 60 миллионов просмотров на YouTube, рост интереса к бренду.","Креативные и забавные концепции могут привести к вирусному эффекту.","Yes"
"Headspace: Mindfulness Campaign","Headspace запустил кампанию по продвижению медитации и осознанности.","Увеличение числа подписчиков на 30%, рост продаж подписок на 25%.","Фокус на здоровье и благополучии может привлечь широкую аудиторию.","Yes"
"Ben & Jerry's: Social Justice Campaigns","Ben & Jerry's активно поддерживает социальные изменения и права человека через свои кампании.","Рост лояльности клиентов на 35%, увеличение продаж на 15%.","Поддержка социальных движений может укрепить связь с клиентами.","Yes"
"GoPro: The GoPro Awards","GoPro запустил программу наград для пользователей, создающих лучший контент с их продуктами.","Увеличение пользовательского контента на 60%, рост продаж на 25%.","Поддержка сообщества может повысить вовлеченность и продажи.","Yes"
"Dyson: Innovation Marketing","Dyson фокусируется на инновациях и уникальности своих продуктов в рекламе.","Рост продаж на 20%, увеличение доли рынка в сегменте пылесосов на 10%.","Инновационные технологии могут выделить бренд на рынке.","Yes"
"Starbucks: Third Place Concept","Starbucks создает уютную атмосферу для встреч, превращая кафе в третье место между домом и работой.","Рост посещаемости на 30%, увеличение средней суммы чека.","Создание уникального клиентского опыта может повысить лояльность.","Yes"
"Clorox: Cleaning Product Challenge","Clorox запустил вызов, призывающий людей делиться своими историями о чистоте.","Рост вовлеченности на 200%, увеличение продаж на 15%.","Активное вовлечение клиентов может создать интерес к продукту.","Yes"
"Zara: Fast Fashion Model","Zara успешно использует модель быстрого производства, чтобы реагировать на изменения модных трендов.","Рост продаж на 25%, увеличение доли на рынке модной одежды на 15%.","Гибкость в производстве может стать ключом к успеху.","Yes"
"Peugeot: The Amazing Race","Peugeot спонсировала известное реалити-шоу, продвигая свою новую модель.","Увеличение продаж на 20%, рост интереса к бренду на 30%.","Сотрудничество с популярными шоу может привлечь внимание к продукту.","Yes"
"Adobe: Creative Cloud Launch","Adobe представила Creative Cloud, объединяющий все их инструменты в одном пакете.","Рост числа подписчиков на 40%, увеличение доходов на 25%.","Интеграция продуктов может повысить ценность для клиентов.","Yes"
"Domino's: AnyWare Ordering","Domino's внедрил возможность заказа пиццы через различные устройства: смарт-колонки, часы и т.д.","Рост числа заказов на 20%, увеличение лояльности клиентов на 15%.","Упрощение процесса заказа может повысить удобство для клиентов.","Yes"
"Tesla: Referral Program","Tesla предложила своим владельцам вознаграждения за привлечение новых клиентов.","Увеличение числа продаж на 30%, рост интереса к бренду.","Реферальные программы могут эффективно стимулировать рост.","Yes"
"Warby Parker: Virtual Try-On","Warby Parker внедрил технологию виртуальной примерки очков.","Увеличение числа покупок на 25%, рост вовлеченности на 50%.","Технологии могут улучшить клиентский опыт и повысить продажи.","Yes"
"Airbnb: Experiences","Airbnb расширил свою платформу, предлагая уникальные местные впечатления и экскурсии.","Рост числа бронирований на 35%, увеличение доходов от дополнительных услуг.","Диверсификация предложения может привлечь новую аудиторию.","Yes"
"Red Bull: Extreme Sports Sponsorships","Red Bull активно спонсирует экстримальные виды спорта, создавая уникальный имидж.","Рост продаж на 20%, увеличение лояльности среди молодежи.","Сильная ассоциация с экстримом может повысить популярность бренда.","Yes"
"Netflix: Content Localization","Netflix локализует контент для различных стран, чтобы привлечь международную аудиторию.","Рост подписчиков на 40% в новых регионах, увеличение времени просмотра на 30%.","Локализация контента может повысить его привлекательность.","Yes"
"Chipotle: Ingredient Transparency","Chipotle продвигает прозрачность в отношении ингредиентов, используемых в своих блюдах.","Увеличение продаж на 15%, рост доверия к бренду на 20%.","Прозрачность может повысить доверие к продукту.","Yes"
"Facebook: Live Video Streaming","Facebook внедрил функцию прямой трансляции, привлекая внимание к контенту.","Увеличение вовлеченности на 50%, рост числа пользователей на 20%.","Новые форматы контента могут значительно увеличить интерес.","Yes"
"Under Armour: Celebrity Endorsements","Under Armour использует известных спортсменов для продвижения своей одежды и обуви.","Рост продаж на 30%, увеличение доли рынка на 15%.","Сотрудничество с знаменитостями может повысить узнаваемость бренда.","Yes"
"Reebok: CrossFit Partnership","Reebok стал официальным спонсором CrossFit, создавая уникальные продукты для сообщества.","Увеличение продаж на 25%, рост лояльности среди целевой аудитории.","Партнерство с популярными движениями может повысить интерес к бренду.","Yes"
"LinkedIn: LinkedIn Stories","LinkedIn внедрил Stories, позволяя пользователям делиться моментами из профессиональной жизни.","Рост вовлеченности на 35%, увеличение числа новых пользователей на 20%.","Новые форматы взаимодействия могут привлечь дополнительную аудиторию.","Yes"
"Pepsi: Kendall Jenner Ad","Pepsi выпустила рекламу с участием Кендала Дженнера, которая вызвала негативную реакцию за недостаток чувствительности к социальным проблемам.","Реклама была быстро снята, компания потеряла доверие у части аудитории.","Необходимо учитывать контекст социальных движений при создании рекламных кампаний.","No"
"Gap: Logo Redesign","Gap представил новый логотип, который не понравился пользователям и вызвал негативную реакцию в интернете.","Компания вернулась к старому логотипу через несколько дней, потратив большие средства на маркетинг.","Изменения в визуальной идентичности могут вызвать backlash, если не учесть мнение клиентов.","No"
"McDonald's: McD Stories","McDonald's запустил кампанию, предлагающую пользователям делиться историями о своих моментах с брендом.","Кампания не привлекла ожидаемого внимания, и многие пользователи использовали ее для критики компании.","Не всегда стоит ожидать положительной реакции от пользователей на открытые платформы.","No"
"Snapchat: Redesign Backlash","Snapchat обновил интерфейс, и пользователи восприняли изменения негативно.","Количество активных пользователей снизилось на 1,5 миллиона, компания вернулась к прежнему дизайну.","Изменения в пользовательском интерфейсе должны быть тщательно продуманы.","No"
"Gillette: We Believe Campaign","Gillette запустила кампанию, фокусирующуюся на теме мужественности и социальной ответственности.","Кампания вызвала как положительные, так и отрицательные отзывы, но привела к росту продаж на 10%.","Социальные темы могут разделить аудиторию, но также создать сильный имидж бренда.","Yes"
"Netflix: The Cloverfield Paradox Release","Netflix неожиданно выпустил фильм в день Суперкубка, полагаясь на шум вокруг события.","Фильм получил смешанные отзывы и низкие рейтинги, что повлияло на ожидания от других релизов.","Не всегда стоит основывать маркетинг на хайпе без качественного контента.","No"
"Volkswagen: Dieselgate","Volkswagen оказался в центре скандала из-за манипуляций с данными о выбросах.","Компания потеряла миллиарды долларов, и ее репутация была серьезно подорвана.","Честность и прозрачность в бизнесе — ключ к долгосрочному успеху.","No"
"Target: LGBTQ+ Campaign","Target запустил кампанию, поддерживающую ЛГБТ-сообщество, что привело к увеличению лояльности среди этой аудитории.","Рост продаж на 15% в сегменте, поддерживающем инклюзивность.","Поддержка разнообразия может укрепить связь с клиентами.","Yes"
"American Airlines: #AmericanAirlinesChallenge","American Airlines запустила конкурс, который был воспринят как неуместный во время кризиса.","Кампания была отменена через несколько дней после запуска из-за негативной реакции публики.","Чувствительность к текущим событиям важна для успешного маркетинга.","No"
"J.C. Penney: Failed Rebranding","J.C. Penney попытался изменить свою стратегию с фокусом на низкие цены без распродаж, что не сработало.","Продажи упали на 25%, и бренд вернулся к прежним методам.","Радикальные изменения в стратегии могут быть опасными без тестирования.","No"
"Lululemon: Product Recall","Lululemon отозвал свои леггинсы из-за проблем с качеством, что привело к потере доверия к бренду.","Проблема стоила компании миллионы долларов и снизила продажи на 10%.","Контроль качества и прозрачность важны для поддержания репутации.","No"
"BP: Deepwater Horizon Spill","BP столкнулся с катастрофой, которая вызвала серьезные экологические последствия и негативное восприятие бренда.","Компания потратила миллиарды на восстановление репутации и компенсации.","Кризисное управление и ответственность могут иметь долгосрочные последствия.","No"
"United Airlines: Passenger Removal Incident","United Airlines столкнулась с негативной реакцией после инцидента с насильным удалением пассажира из самолета.","Снижение акций на 4% и негативная пресса, что повлияло на имидж компании.","Обработка клиентских запросов и поддержка важны для поддержания имиджа.","No"
"New Coke: Product Launch Failure","Coca-Cola запустила новый рецепт напитка, который не понравился потребителям.","Компания вернулась к классической версии через несколько месяцев, вызвав резкий рост продаж.","Изменения в культовых продуктах требуют тщательного анализа потребительских предпочтений.","No"
"H&M: Racist Ad Controversy","H&M выпустил рекламу, которая была воспринята как расистская, что вызвало широкий общественный резонанс.","Бренд потерял доверие и был вынужден извиниться и изменить свои рекламные практики.","Чувствительность к культурным вопросам критически важна для брендов.","No"
"Yahoo: Data Breach","Yahoo сообщил о массовом утечке данных, что подорвало доверие к компании.","Потеря пользователей и снижение цен акций на 30%.","Кибербезопасность и защита данных должны быть приоритетами для компаний.","No"
"Kraft: Macaroni & Cheese Rebranding","Kraft попытался изменить рецепт своего макаронного блюда, что вызвало недовольство у покупателей.","Компания вернулась к оригинальному рецепту после негативной реакции.","Сохранение классических рецептов может быть важным для бренда.","No"
"Facebook: Cambridge Analytica Scandal","Facebook оказался в центре скандала из-за утечки данных пользователей.","Потеря доверия, снижение акций на 20%, и увеличение регулирования со стороны властей.","Прозрачность и этика при работе с данными пользователей имеют критическое значение.","No"
"Reebok: Failed Rebranding","Reebok пытался перезапустить свой бренд, но не смог привлечь молодежную аудиторию.","Продажи продолжили снижаться, и компания вернулась к старым маркетинговым подходам.","Важно тщательно исследовать целевую аудиторию перед изменением бренда.","No"
"Old Spice: The Man Your Man Could Smell Like","Old Spice запустил креативную кампанию с юмором и запоминающимся персонажем.","Кампания привела к росту продаж на 125%.","Креативность и юмор могут значительно повысить интерес к продукту.","Yes"
"Coca-Cola: New Coke Launch","Coca-Cola выпустила новую версию своего напитка, которая не понравилась потребителям.","Реакция была крайне негативной, и компания вернулась к оригинальному рецепту.","Важно учитывать предпочтения потребителей при запуске новых продуктов.","No"
"Airbnb: #WeAccept Campaign","Airbnb запустил кампанию, поддерживающую инклюзивность и разнообразие.","Кампания получила положительные отзывы и увеличила число бронирований.","Социальные инициативы могут укрепить имидж компании.","Yes"
"Pepsi: Live for Now Campaign","Pepsi выпустила рекламу с Кендлом Дженнером, которая вызвала критику за недостаток чувствительности к социальным проблемам.","Реклама была быстро снята, что негативно сказалось на имидже компании.","Чувствительность к социальным вопросам важна в современном маркетинге.","No"
"GoPro: User-Generated Content","GoPro поощряет пользователей делиться своим контентом, созданным с помощью их камер.","Увеличение вовлеченности и продаж на 25%.","Поддержка сообщества может привести к росту популярности бренда.","Yes"
"Blockbuster: Missed Digital Opportunity","Blockbuster не успел адаптироваться к цифровым технологиям, что привело к краху компании.","Компания потеряла рынок и была закрыта в 2013 году.","Адаптация к новым технологиям критически важна для выживания бизнеса.","No"
"Red Bull: Extreme Sports Sponsorships","Red Bull активно спонсирует экстримальные виды спорта, создавая уникальный имидж.","Рост продаж на 20%, увеличение лояльности среди молодежи.","Связь с экстримом может повысить популярность бренда.","Yes"
"Microsoft: Windows Vista Launch","Microsoft выпустил Windows Vista, который не оправдал ожиданий пользователей.","Критика и снижение продаж по сравнению с предыдущими версиями.","Качество продукта должно быть приоритетом при запуске новых технологий.","No"
"Nike: Dream Crazy Campaign","Nike запустил кампанию с Колином Каперником, поддерживая социальные протесты.","Рост продаж на 31% и позитивный общественный резонанс.","Поддержка социальных движений может укрепить имидж бренда.","Yes"
"Yahoo: Data Breach","Yahoo столкнулся с массовой утечкой данных пользователей, что подорвало доверие к компании.","Потеря пользователей и снижение цен акций на 30%.","Защита данных пользователей должна быть приоритетом для компаний.","No"
"Burger King: Whopper Detour","Burger King предложил клиентам скидку на Whopper, если они находятся рядом с McDonald's.","Увеличение продаж на 18% и высокий уровень вовлеченности.","Креативные и забавные кампании могут привлечь внимание к вашему продукту.","Yes"
"J.C. Penney: Failed Rebranding","J.C. Penney попытался изменить свою стратегию, что не сработало.","Продажи упали на 25%, и бренд вернулся к прежним методам.","Радикальные изменения в стратегии могут быть опасными без тестирования.","No"
"Spotify: Discover Weekly","Spotify представил персонализированный плейлист для пользователей.","Увеличение времени прослушивания на 40%, рост числа премиум-подписчиков на 20%.","Персонализация опыта может увеличить удовлетворенность клиентов.","Yes"
"Comcast: Customer Service Issues","Comcast столкнулся с серьезными проблемами в обслуживании клиентов, что вызвало негативную реакцию.","Потеря клиентов и снижение удовлетворенности на 30%.","Клиентский сервис должен быть в центре внимания бизнеса.","No"
"Unilever: Sustainable Living Plan","Unilever внедрил план устойчивого развития для улучшения экологии.","Увеличение доли устойчивых продуктов на 50%, рост продаж на 30%.","Фокус на устойчивом развитии может привести к долгосрочным результатам.","Yes"
"Target: Data Breach","Target столкнулся с утечкой данных в 2013 году, что подорвало доверие к бренду.","Компания понесла убытки в миллионы долларов и потеряла клиентов.","Защита данных должна быть приоритетной задачей.","No"
"Apple: iPhone Launch","Apple успешно запустила iPhone, который произвел фурор на рынке.","Увеличение продаж на 300% в первый год после запуска.","Инновации и качественный продукт могут изменить рынок.","Yes"
"Fitbit: Overreliance on Wearables","Fitbit слишком полагался на рынок носимых устройств, не смог адаптироваться к изменениям.","Снижение продаж и рыночной доли на 20%.","Диверсификация предложения важна для устойчивости бизнеса.","No"
"Dove: Real Beauty Campaign","Dove запустил кампанию, продвигающую естественную красоту и разнообразие.","Рост продаж на 30%, положительные отзывы от аудитории.","Социальные инициативы могут создать мощный имидж бренда.","Yes"
"Netflix: The Binge-Watching Model","Netflix запустил стратегию выпуска всех сезонов шоу одновременно, чтобы привлечь зрителей к просмотру.","Рост подписчиков на 25%, время просмотра увеличилось на 50%.","Предложение полного контента может увеличить вовлеченность и удержание пользователей.","Yes"
"Amazon: Customer Reviews","Amazon внедрил систему отзывов, позволяя пользователям оставлять мнения о продуктах.","Увеличение доверия к продуктам, рост конверсии на 20%.","Отзывы пользователей могут быть мощным инструментом для повышения продаж.","Yes"
"Ford: EcoBoost Technology","Ford продвигал свою линейку двигателей EcoBoost, подчеркивая их экономичность и мощность.","Рост продаж автомобилей на 15%, положительные отзывы от потребителей о производительности.","Инновационные технологии могут привлечь внимание к продукту.","Yes"
"McDonald's: All Day Breakfast","McDonald's расширил меню, предлагая завтрак в течение всего дня.","Увеличение продаж на 7% в первые месяцы, рост удовлетворенности клиентов.","Адаптация меню к потребностям клиентов может повысить лояльность.","Yes"
"Airbnb: Open Homes Program","Airbnb запустил программу, позволяющую людям предлагать свои дома для размещения беженцев и бездомных.","Увеличение положительных отзывов о компании, рост числа пользователей на 20%.","Социальная ответственность может укрепить имидж бренда.","Yes"
"Patagonia: Activism Campaign","Patagonia активно поддерживает экологические движения и социальные кампании.","Увеличение продаж на 30%, рост лояльности клиентов на 25%.","Активное участие в социальных вопросах может привлечь целевую аудиторию.","Yes"
