term,definition,category
Google Hummingbird,"Первое обширное обновление алгоритма поиска Google, изменившее способ интерпретации поисковых запросов.",SEO
Google Мой бизнес,"Платформа Google для создания бизнес-страниц, позволяющая управлять информацией о компании на страницах поиска.",Маркетинг
Google Panda,"Обновление алгоритма Google, созданное для оценки качества контента веб-сайтов.",SEO
Google Penguin,"Обновление алгоритма Google, направленное на улучшение точности результатов поиска с учетом местоположения пользователя.",SEO
Google Search Console,"Бесплатный инструмент Google для веб-мастеров, позволяющий анализировать данные о видимости сайта и его индексируемости.",Аналитика
Хэштеги,"Символ “#”, используемый в социальных сетях для облегчения поиска контента по темам.",Социальные сети
Heatmap,"Графическое представление взаимодействия посетителей на веб-сайте, позволяющее отслеживать клики и поведение пользователей.",Аналитика
HTML,"Аббревиатура языка разметки гипертекста, используемого для создания веб-страниц.",Технологии
HTTP,"Аббревиатура протокола передачи гипертекста, используемого для передачи данных в интернете.",Технологии
HTTPS,"Безопасная версия HTTP, обеспечивающая защиту данных пользователей за счет шифрования.",Технологии
Hreflang Tag,"HTML-код, который помогает поисковым системам определить язык и регион страницы для корректного отображения.",SEO
Гиперссылка,"HTML-код, создающий ссылку с одной веб-страницы на другую.",Технологии
Впечатления,"Термин, используемый в рекламе с оплатой за клик, обозначающий количество показов рекламы.",Реклама
Доля впечатлений,"Метрика в PPC-рекламе, представляющая процент фактических показов рекламы к возможным показам.",Реклама
Реклама в Instagram,"Платная реклама на платформе Instagram, позволяющая охватить целевую аудиторию с помощью изображений или видео.",Реклама
Instagram Stories,"История публикации видео или фотографии, отображаемая на странице профиля пользователя. Пользователи могут нажать на кольцо вокруг фотографии профиля, чтобы прочитать историю.",Социальные сети
Instagram TV,"Приложение Instagram, позволяющее пользователям делиться и просматривать видео до часа, отличающееся от Instagram Stories тем, что контент не удаляется через 24 часа.",Социальные сети
Javascript,"Язык сценариев, используемый в веб-браузерах для создания интерактивных эффектов, которые трудно или невозможно достичь с помощью CSS или HTML.",Технологии
Ключевые слова,"Слова или фразы, используемые маркетологами для оптимизации контента и улучшения видимости в поисковых системах.",SEO
Плотность ключевых слов,Количество появления ключевого слова на веб-странице по сравнению с общим количеством слов на странице.,SEO
Ключевые фразы,"Группа из двух или более слов, используемая для поиска информации в поисковых системах.",SEO
Исследование ключевых слов,"Практика поиска альтернативных поисковых терминов, используемая маркетологами для достижения лучших позиций в поисковых системах.",SEO
Ключевые слова Фарш,"Чрезмерное использование ключевых слов на странице, что может привести к штрафам от поисковых систем.",SEO
Пробел в знаниях,"Гипотеза о неравномерном распределении знаний по социальной системе, где одни классы имеют больше информации, чем другие.",Социология
Целевая страница,"Страница, на которую пользователь попадает после перехода по ссылке, используемая для генерации лидов.",Маркетинг
Оптимизация целевой страницы,Процесс улучшения элементов целевой страницы для повышения конверсий.,Маркетинг
Скрытая семантическая индексация (LSI),"Метод индексации, создающий связи между словами и фразами для лучшего понимания текста.",SEO
Lead Nurturing,Процесс взаимодействия с потенциальным клиентом для поддержания его интереса и продвижения в воронке продаж.,Маркетинг
Профиль ссылки,"Совокупность обратных ссылок на веб-сайт, используемая для определения его авторитетности и доверия в поисковых системах.",SEO
Прямая трансляция,"Видео в реальном времени, транслируемое интернет-аудитории с помощью устройства с доступом в Интернет.",Технологии
Local SEO,"Локальная поисковая оптимизация, направленная на создание видимости бизнеса на страницах результатов поиска для местной аудитории.",SEO
Lookalike audience,"Возможность для маркетологов ориентироваться на целевую аудиторию на Facebook, используя общие характеристики с существующими клиентами.",Маркетинг
Длинные ключевые слова хвоста,"Более длинные и специфичные ключевые фразы, имеющие более высокое намерение поиска, но меньшую конкуренцию.",SEO
Map pack,"Страница результатов поиска Google, отображающая три предприятия на локальной карте при поисковом запросе с локальным намерением.",SEO
Мета-описания,"Мета-тег, предоставляющий описание страницы в 160 символов или меньше, появляется в результатах поиска.",SEO
Мета-теги,"Фрагменты HTML, добавленные в код веб-страницы для лучшего распознавания содержимого страниц поисковыми системами.",SEO
Мобильная реклама,"Коммуникация продуктов или услуг для мобильных устройств и смартфонов, включая SMS и интерактивную рекламу.",Реклама
Mobile First Index,"Ранжирование мобильного контента Google для индексации, с акцентом на мобильные версии страниц.",SEO
Мета-ключевые слова,"Тип мета-тега, помогающий поисковым системам понять тему веб-страницы.",SEO
Оптимизация мобильных страниц,"Практика мобильного SEO, обеспечивающая корректное отображение на различных размерах экранов.",SEO
Нишевый маркетинг,"Стратегический маркетинг, ориентированный на менее сегментированные группы аудитории для достижения значительных результатов.",Маркетинг
Nofollow Links,"Атрибут rel в HTML, информирующий поисковые системы о том, что ссылка не передает SEO equity.",SEO
On page SEO,Практика оптимизации отдельных веб-страниц для повышения их рейтинга в поисковых системах.,SEO
Органический поисковый трафик,"Трафик на веб-сайт, полученный из неоплаченных результатов поисковых систем.",SEO
Скорость страницы,"Инструменты Google для оптимизации производительности веб-сайта, включая Page Speed Insights.",Аналитика
Платная реклама,"Платные размещения объявлений и публикаций, включая PPC и медийную рекламу.",Реклама
Оплата за клик (PPC),"Платная реклама, где маркетологи платят за каждый клик по их объявлениям на платформах, таких как Google и Facebook.",Реклама
Pinterest Реклама,"Рекламный сервис на платформе Pinterest, позволяющий показывать рекламу пользователям.",Реклама
Pinterest Маркетинг,"Маркетинг на Pinterest, где пользователи сохраняют пины с изображениями и ссылками на досках.",Маркетинг
Штраф,"Нарушение правил Google, ведущее к санкциям, таким как удаление сайта из результатов поиска.",SEO
Частная сеть блогов (PBN),"Сеть частных веб-сайтов, ссылающихся друг на друга, не одобренная Google для SEO.",SEO
Quora,"Сайт вопросов и ответов, позволяющий пользователям задавать и отвечать на вопросы.",Социальные сети
Reddit marketing,"Маркетинг на платформе Reddit, позволяющий взаимодействовать с пользователями через контент и обсуждения.",Маркетинг
Оценка релевантности,Оценка рекламы Facebook на основе прогнозируемых положительных и отрицательных отзывов от целевой аудитории.,Маркетинг
Взаимные ссылки,"Два веб-сайта, которые ссылаются друг на друга, используемые для повышения рейтинга в поисковых системах.",SEO
Реферальный трафик,Маркетинговый метод привлечения клиентов через личные и профессиональные сети для продвижения продуктов и услуг.,Маркетинг
Ремаркетинг,"Тип платной рекламы, показываемой пользователям после посещения веб-сайта или просмотра продукта.",Реклама
Адаптивный веб-дизайн,"Создание веб-сайта, который настраивает содержимое под размер экрана устройства для точного отображения.",Технологии
Рентабельность инвестиций (ROI),"Возврат инвестиций, где доход от рекламы должен превышать затраты на кампанию.",Финансы
Robots.txt,"Текстовый файл на сервере, определяющий, какие страницы могут индексироваться поисковыми системами.",SEO
Цикл продаж,"Процесс продажи, который включает в себя все действия, связанные с закрытием продажи.",Маркетинг
Алгоритм поиска,"Процесс, используемый для поиска данных среди набора данных, определяющий индексацию и ранжирование веб-страниц.",SEO
Поисковые системы,"Программные системы для поиска информации в интернете, такие как Google, Bing и Yahoo.",Технологии
Поисковая сеть,"Группа веб-сайтов, на которых отображается реклама, например, поисковая сеть Google.",Реклама
Поисковый маркетинг (SEM),"Комбинация цифрового маркетинга, включая как органический, так и платный маркетинг в поисковых системах.",Маркетинг
Страница результатов поиска (SERP),"Страница, где отображаются результаты поиска по ключевым словам, введенным пользователем.",Аналитика
Техника небоскреба,"Метод создания качественного контента для получения обратных ссылок, основанный на анализе популярных тем.",SEO
Трафик в социальных сетях,"Трафик, получаемый от пользователей социальных сетей, таких как Facebook и Instagram.",Маркетинг
Slidedecks,"Презентации, состоящие из слайдов, объясняющие информацию по шагам.",Технологии
Целевая аудитория,"Определенная группа людей с общими характеристиками, заинтересованная в продукте или услуге.",Маркетинг
Технический SEO,Оптимизация веб-сайта для улучшения индексации и сканирования поисковыми системами.,SEO
Top Of Funnel Marketing,"Маркетинг на верхнем уровне воронки продаж, направленный на привлечение потенциальных клиентов.",Маркетинг
Коды отслеживания,"Исходный код или скрипт, используемый для сбора данных о сайте пользователях.",Аналитика
Время на странице,"Количество времени, проведенного посетителем на определенной странице веб-сайта.",Аналитика
Тег заголовка,"HTML-элемент, идентифицирующий тему страницы, отображается в результатах поиска как кликабельный заголовок.",SEO
Twitch Реклама,"Маркетинг на платформе Twitch, предоставляющей различные форматы рекламы для взаимодействия с пользователями.",Реклама
Twitch Live Streaming,"Потоковое видео на платформе Twitch, фокусирующееся на трансляции видеоигр и творческого контента.",Медиа
Режим продвижения Twitter,Автоматический механизм усиления твитов и профилей для увеличения охвата и привлечения последователей.,Социальные сети
Пользовательский интерфейс (UI),"Средства взаимодействия пользователя с цифровым устройством, включая элементы управления и навигацию.",Технологии
Уникальное ценностное предложение,"Четкое заявление, описывающее, как продукт или услуга удовлетворяет потребности клиента и выделяет компанию.",Маркетинг
Уникальные посетители,"Метрика, показывающая количество различных посетителей веб-сайта за определенный период, исключая повторные посещения.",Аналитика
Код отслеживания UTM,"Код, прикрепляемый к URL для отслеживания источников трафика и кампаний в Google Analytics.",Аналитика
Пользовательский опыт (UX),"Отношение к тому, как пользователь взаимодействует с веб-сайтом или приложением, включая поведение и удовлетворенность.",Технологии
Видеомаркетинг,"Маркетинговая стратегия, использующая видео для продвижения продуктов и услуг.",Маркетинг
Visit,"Метрика, используемая для расчета общего количества переходов посетителя по сайту, также известная как сессия.",Аналитика
Вебинары,"Онлайн-семинары, созданные для информирования или обучения аудитории, часто требуют предварительной регистрации.",Маркетинг
Аналитика сайта,Анализ и отчетность веб-данных для понимания поведения посетителей на сайте.,Аналитика
Маркетинг Белой шляпы,"Этические маркетинговые практики, соответствующие правилам поисковых систем.",SEO
Белые книги,"Авторитетные документы, предоставляющие глубокий анализ проблем и решений в конкретной области.",Маркетинг
Каркас,"Черновик макета веб-страницы, фокусирующийся на интерактивной функциональности и грубом дизайне.",Дизайн
Расширяемый язык разметки (XML),"Язык разметки, используемый для категоризации данных, позволяющий настраивать теги.",Технологии
Карта сайта в XML,"Документ XML, помогающий роботам-поисковикам идентифицировать страницы веб-сайта.",SEO
Yelp (Визг),"Платформа для отзывов о местных предприятиях, предоставляющая маркетинговые возможности для бизнеса.",Маркетинг
Реклама на YouTube,"Рекламные форматы, предлагаемые на YouTube, включая медийную и видеорекламу.",Реклама
YouTube,"Платформа для обмена видео, принадлежащая Google и являющаяся одной из самых популярных поисковых систем.",Медиа
Контекстная реклама,"интернет-реклама, основанная на поисковых запросах, интересах и характеристиках аудитории",Реклама
Реклама на поиске,объявления над и под результатами органической выдачи в Яндексе и Google,Реклама
Яндекс.Директ,сервис для размещения контекстной рекламы в Яндексе и сайтах-партнерах Рекламной сети Яндекса,Инструменты
Google Ads (Google Реклама),сервис для размещения контекстной рекламы в поисковой и контекстно-медийной сети Google,Инструменты
Рекламная сеть Яндекса,"система размещения контекстной рекламы на партнерских сайтах и в сервисах Яндекса, а также в мобильных приложениях, приложениях Smart TV, поверхности операторов цифровой наружной рекламы (DOOH)",Реклама
Контекстно-медийная сеть Google,"система размещения рекламы, которая учитывает интересы пользователей, на страницах сайтов-участников партнерской сети Google Ads. Всего сеть включает свыше 2 миллионов сайтов и мобильных приложений, в том числе, YouTube и Gmail",Реклама
Биддер (бид-менеджер),"программная система, которую можно использовать для контроля ставок при ручном управлении рекламой в Яндекс.Директе и Google Ads",Инструменты
CPC(Cost per Click),"средняя цена клика, которую платит рекламодатель. Расчитывается как соотношение потраченного бюджета к количеству кликов",Метрики
PPC(Pay per Click),модель размещения рекламы с оплатой за клики,Реклама
CPM (Cost per Thousand Impression),"сумма, которую рекламодатель платит за каждые 1 000 показов рекламного объявления в Яндекс.Директ или Google Ads",Метрики
CPL (Cost per lead),"сумма, которую вы тратите на привлечение одного лида (заявки). Показатель рассчитывается по формуле: CPL = Расходы на привлечение / Количество заявок",Метрики
CPO (Cost per order),"сумма, в которую вам обходится один заказ. Показатель рассчитывается по формуле: CPO = Расходы на привлечение / Количество продаж",Метрики
Google Телепорт,инструмент для переноса поисковых кампаний из Яндекс.Директа в Google Ads,Инструменты
Директ Коммандер,"десктопная программа, которая предлагает удобное управление большим количеством клиентов, кампаний, объявлений и ключевых фраз из аккаунтов Яндекс.Директа",Инструменты
Редактор Google Ads,"десктопная программа для удобного внесения массовых изменений в рекламные кампании, объявления и ключевые фразы из аккаунтов Google Ads",Инструменты
Динамическая вставка ключевых слов,"функционал для поисковой рекламы Google, с помощью которого можно настроить автоматическую подстановку ключевого слова в рекламные объявления",Функционал
